시구,자치구,동,단지명,단지번호,세대수,동수,준공년월,평형구간,최저매매가_만원,중위매매가_만원,최고매매가_만원,매매건수,전세건수,최소면적_㎡,최대면적_㎡,위도,경도,강남까지_km,회사1_합정_km,회사2_남양_km
강서구,,공항동,마곡엠밸리8단지,112211,531,10,201607,"24,33",150000,160000,170000,6,0,84.13,84.13,37.563757,126.819535,19.75,8.44,38.52
강서구,,공항동,마곡엠밸리9단지,131224,1529,19,202102,"24,33",160000,165000,175000,37,0,83.72,83.93,37.562083,126.818879,19.74,8.46,38.33
강서구,,공항동,마곡엠밸리2단지,107960,408,6,201406,33,165000,165000,167000,12,0,114.32,114.62,37.569419,126.820725,19.9,8.48,39.15
강서구,,공항동,마곡수명산파크7단지,26128,643,10,200810,33,110000,115000,115000,14,0,109.15,109.76,37.548342,126.822381,18.95,8.04,36.82
강서구,,공항동,마곡현대1차,33,337,3,199311,33,80000,80000,115000,19,0,102.73,102.73,37.57039,126.814268,20.47,9.05,39.23
강서구,,공항동,마곡엠밸리6단지,107506,1466,19,201406,33,169000,185000,200000,40,0,112.61,113.77,37.566061,126.820121,19.8,8.44,38.78
강서구,,공항동,마곡우림필유,9410,320,3,200312,33,95000,95000,120000,14,0,102.76,103.3,37.571676,126.821164,19.97,8.51,39.4
강서구,,공항동,마곡엠밸리11단지,112280,347,6,201609,33,177000,177000,177000,5,0,119.41,119.41,37.559182,126.82115,19.44,8.22,38.02
강서구,,공항동,마곡엠밸리3단지,107961,315,4,201406,33,165000,165000,165000,1,0,115.71,115.71,37.568195,126.819963,19.91,8.51,39.01
강서구,,공항동,마곡엠밸리5단지,107475,439,8,201406,33,170000,180000,180000,45,0,112.01,112.07,37.566144,126.817596,20.01,8.66,38.77
강서구,,공항동,마곡엠밸리4단지,107483,420,7,201406,33,175000,190000,220000,3,0,114.48,114.48,37.569115,126.824635,19.57,8.13,39.14
강서구,,공항동,마곡엠밸리14단지,107504,1270,13,201405,33,171000,185000,210000,19,0,114.14,114.74,37.556556,126.824685,19.05,7.88,37.74
강서구,,공항동,마곡엠밸리7단지,107477,1004,13,201406,33,220000,220000,220000,14,0,109.57,109.57,37.565186,126.822974,19.53,8.17,38.69
강서구,,공항동,마곡엠밸리10단지,112279,550,8,201608,33,170000,172500,175000,2,0,116.78,116.78,37.55971,126.819305,19.61,8.39,38.07
강서구,,공항동,마곡수명산파크3단지,25968,518,8,200709,33,125000,127000,160000,34,0,108.91,108.91,37.552717,126.824677,18.9,7.85,37.32
강서구,,공항동,마곡수명산파크6단지,25969,399,6,200710,33,125000,126500,128000,12,0,108.18,108.18,37.550674,126.82583,18.74,7.74,37.1
강서구,,내발산동,초록,1038,625,9,199811,"21,24,33",75000,75000,80000,5,0,69.75,69.75,37.546123,126.833868,17.91,7.04,36.65
강서구,,내발산동,우장산아이파크e편한세상,22555,2517,42,200801,"24,33",139500,141000,146000,38,0,79.93,79.93,37.549391,126.839113,17.58,6.57,37.05
강서구,,내발산동,우장산숲아이파크,131485,576,10,202212,"24,33",132000,144000,150000,38,0,81.68,81.7,37.545133,126.839478,17.4,6.55,36.58
강서구,,내발산동,강서힐스테이트,103305,2603,37,201508,"24,33",135000,140000,150000,55,0,82.13,82.13,37.546914,126.839257,17.48,6.56,36.78
강서구,,내발산동,화곡푸르지오,3330,2176,50,200210,33,118000,120000,123000,9,0,114.99,117.28,37.544791,126.831286,18.08,7.28,36.48
강서구,,등촌동,염창한화꿈에그린1차,11565,422,7,200504,"24,33",148500,150000,152000,3,0,85,85,37.548137,126.873331,14.71,3.55,37.33
강서구,,등촌동,염창동아3차,870,570,8,199901,"24,33",120000,131000,140000,36,0,78.32,78.49,37.549809,126.877709,14.42,3.16,37.59
강서구,,등촌동,한마음삼성,36,330,5,199507,"24,33",103000,103000,103000,1,0,85.55,85.55,37.554575,126.868198,15.41,4.04,37.96
강서구,,등촌동,성원2차,8378,423,4,200012,"24,33",80000,80000,82000,3,0,84.09,84.09,37.542041,126.864416,15.21,4.42,36.53
강서구,,등촌동,태진한솔,1034,356,5,199410,"24,33",105000,105000,105000,4,0,79.25,79.25,37.549065,126.874302,14.67,3.47,37.45
강서구,,등촌동,염창동아1차,869,778,5,199806,"24,33",105000,107250,110000,6,0,85.4,85.4,37.554818,126.872846,15.04,3.64,38.06
강서구,,등촌동,신동아,37,348,3,199512,"24,33",102000,102500,103000,2,0,80.29,80.29,37.55526,126.869184,15.36,3.96,38.05
강서구,,등촌동,목동롯데캐슬마에스트로,113008,410,6,201904,"24,33",132000,135000,145000,21,0,82.95,83.32,37.545585,126.865927,15.21,4.23,36.94
강서구,,등촌동,e편한세상염창,115965,499,6,201903,33,168000,180000,190000,13,0,95.15,109.09,37.548676,126.870621,14.95,3.79,37.35
강서구,,등촌동,현대1차,1035,498,5,199404,33,130000,130000,140000,13,0,101.89,102.77,37.553298,126.875447,14.76,3.39,37.93
강서구,,등촌동,우성,3771,332,4,199204,33,171000,180000,186000,60,0,101.77,104.92,37.541319,126.875508,14.26,3.49,36.62
강서구,,등촌동,강변한솔솔파크,9364,455,8,200509,33,125000,135000,139000,24,0,108.21,108.26,37.55692,126.866533,15.65,4.23,38.2
강서구,,등촌동,삼성관음,34,350,3,199708,33,115000,125000,125000,7,0,108.63,108.63,37.552728,126.869165,15.24,3.93,37.77
강서구,,등촌동,강변힐스테이트,9161,417,7,200506,33,148000,150000,163000,24,0,110.26,110.26,37.551261,126.874077,14.78,3.49,37.69
강서구,,등촌동,염창우성1차,38,339,4,199011,33,120000,136000,145000,3,0,101.75,104.58,37.556405,126.871124,15.26,3.82,38.21
강서구,,등촌동,등촌아이파크,13859,1653,29,200401,33,123000,128000,135000,60,0,105.25,105.84,37.544062,126.859983,15.65,4.77,36.69
강서구,,등촌동,목동롯데캐슬위너,10307,1067,13,200506,33,140000,153000,155000,15,0,107.31,107.43,37.546745,126.867264,15.15,4.1,37.09
강서구,,등촌동,목동금호베스트빌,3433,495,5,200203,33,107000,107000,107000,1,0,109.9,109.9,37.545411,126.868133,15.02,4.04,36.96
강서구,,염창동,목동한신청구,661,1512,15,199712,33,208000,223000,250000,96,0,103.22,103.22,37.541612,126.881769,13.75,2.95,36.76
강서구,,오쇠동,주공,2579,490,13,198811,18,38000,38500,39000,2,0,57.67,57.67,37.52859,126.801614,20.22,10.15,34.56
강서구,,오쇠동,삼두,12870,320,9,198310,"18,24",14000,17500,19000,19,0,63.49,63.54,37.52858,126.789113,21.31,11.22,34.57
강서구,,오쇠동,오정휴먼시아3단지,22208,550,8,200607,"21,24",38000,39000,40000,2,0,69.28,69.28,37.53277,126.78768,21.51,11.26,35.03
강서구,,오쇠동,원종금호어울림,102634,404,9,201102,"24,33",54000,58000,60000,7,0,81.01,81.01,37.528603,126.802904,20.11,10.04,34.56
강서구,,오쇠동,세종2차,2646,384,5,199508,"24,33",33000,35000,35500,6,0,82.28,82.28,37.529605,126.78896,21.34,11.21,34.68
강서구,,오쇠동,오정휴먼시아1단지,22209,612,9,200610,"24,33",46000,47500,52000,4,0,82.65,82.65,37.53123,126.78314,21.88,11.68,34.88
강서구,,오쇠동,오정휴먼시아2단지,22215,501,9,200610,33,60000,62000,69000,7,0,107.36,108.44,37.53121,126.78675,21.56,11.37,34.86
강서구,,화곡동,중앙하이츠,44,473,4,198812,"18,21,33",38000,43000,43000,8,0,63.58,64.74,37.535739,126.843579,16.77,6.37,35.58
강서구,,화곡동,화곡대림,42,416,5,199208,33,68000,70000,70000,9,0,101.31,101.31,37.533749,126.837229,17.26,6.96,35.31
양천구,,목동,양평현대6차,3801,770,9,200012,"21,33",135000,138000,142000,19,0,72.64,72.64,37.531968,126.893816,12.39,2.63,35.95
양천구,,목동,영등포중흥S-클래스,121758,308,2,202103,24,90000,150000,150000,4,0,77.64,83.86,37.523659,126.886616,12.76,3.75,34.91
양천구,,목동,염창한화꿈에그린1차,11565,422,7,200504,"24,33",148500,150000,152000,3,0,85,85,37.548137,126.873331,14.71,3.55,37.33
양천구,,목동,거성파스텔,1216,532,7,199905,"24,33",136000,138000,140000,7,0,80.54,80.54,37.531536,126.891967,12.53,2.78,35.87
양천구,,목동,양평한신,735,1215,10,199604,"24,33",135000,137500,140000,32,0,83.98,83.98,37.540232,126.892087,12.85,2.17,36.81
양천구,,목동,신정아이파크,3447,590,7,200207,"24,33",170000,170000,170000,3,0,86.32,86.32,37.521766,126.871748,14.0,4.82,34.43
양천구,,목동,삼성래미안,729,388,5,199807,"24,33",125000,125000,125000,3,0,76.5,76.5,37.524753,126.882632,13.13,3.89,34.95
양천구,,목동,염창동아3차,870,570,8,199901,"24,33",120000,131000,140000,36,0,78.32,78.49,37.549809,126.877709,14.42,3.16,37.59
양천구,,목동,성원2차,8378,423,4,200012,"24,33",80000,80000,82000,3,0,84.09,84.09,37.542041,126.864416,15.21,4.42,36.53
양천구,,목동,태진한솔,1034,356,5,199410,"24,33",105000,105000,105000,4,0,79.25,79.25,37.549065,126.874302,14.67,3.47,37.45
양천구,,목동,목동롯데캐슬마에스트로,113008,410,6,201904,"24,33",132000,135000,145000,21,0,82.95,83.32,37.545585,126.865927,15.21,4.23,36.94
양천구,,목동,e편한세상염창,115965,499,6,201903,33,168000,180000,190000,13,0,95.15,109.09,37.548676,126.870621,14.95,3.79,37.35
양천구,,목동,현대,688,783,7,199406,33,153000,157000,165000,9,0,101.67,101.67,37.523352,126.894565,12.07,3.38,35.04
양천구,,목동,성원,731,372,2,199307,33,135000,140000,140000,14,0,104,104,37.534337,126.893792,12.48,2.44,36.21
양천구,,목동,우성,3771,332,4,199204,33,171000,180000,186000,60,0,101.77,104.92,37.541319,126.875508,14.26,3.49,36.62
양천구,,목동,목동대원칸타빌,9797,511,6,200306,33,164000,190000,190000,25,0,106.07,108.33,37.531378,126.86717,14.63,4.57,35.4
양천구,,목동,강변힐스테이트,9161,417,7,200506,33,148000,150000,163000,24,0,110.26,110.26,37.551261,126.874077,14.78,3.49,37.69
양천구,,목동,등촌아이파크,13859,1653,29,200401,33,123000,128000,135000,60,0,105.25,105.84,37.544062,126.859983,15.65,4.77,36.69
양천구,,목동,목동롯데캐슬위너,10307,1067,13,200506,33,140000,153000,155000,15,0,107.31,107.43,37.546745,126.867264,15.15,4.1,37.09
양천구,,목동,목동한신청구,661,1512,15,199712,33,208000,223000,250000,96,0,103.22,103.22,37.541612,126.881769,13.75,2.95,36.76
양천구,,목동,목동금호어울림,11926,371,7,200411,33,146000,160000,160000,13,0,106.41,106.79,37.533928,126.868725,14.57,4.33,35.71
양천구,,목동,목동금호베스트빌,3433,495,5,200203,33,107000,107000,107000,1,0,109.9,109.9,37.545411,126.868133,15.02,4.04,36.96
양천구,,신월동,중앙하이츠,44,473,4,198812,"18,21,33",38000,43000,43000,8,0,63.58,64.74,37.535739,126.843579,16.77,6.37,35.58
양천구,,신월동,신안파크,662,485,11,198712,"18,21",30000,33500,35000,18,0,62.79,62.79,37.523518,126.829502,17.7,7.97,34.11
양천구,,신월동,푸른마을2단지,3786,470,5,200101,"21,24",60000,61500,62000,4,0,70.2,70.2,37.513611,126.835426,17.04,7.98,33.06
양천구,,신월동,동문미도,1673,340,6,198910,"21,24",19000,20000,25000,12,0,67.86,74.55,37.525352,126.826419,18.01,8.15,34.29
양천구,,신월동,목동센트럴아이파크위브,117329,3045,35,202005,"24,33",100000,120000,139000,144,0,77.06,85.41,37.516804,126.843516,16.37,7.18,33.49
